220_sku,220_ean,shopify_main_image_url,220_additional_images
000135-0022-L,4751043571896,https://cdn.shopify.com/s/files/1/0771/7188/4370/files/Untitleddesign-2026-09-10T164528.670_5e6dcb7f-eb30-4a6f-b4c4-d9a816baa6fc.jpg?v=1789048040,"[""https://cdn.shopify.com/s/files/1/0771/7188/4370/files/Untitleddesign-2026-09-10T164528.670_5e6dcb7f-eb30-4a6f-b4c4-d9a816baa6fc.jpg?v=1789048040"", ""https://cdn.shopify.com/s/files/1/0771/7188/4370/files/Untitleddesign-2026-09-10T164616.781_58fa32a6-190a-40d6-83c3-e49f725ef83f.jpg?v=1789048040"", ""https://cdn.shopify.com/s/files/1/0771/7188/4370/files/Untitleddesign-2026-09-10T164713.105_45324ba6-a320-4bcf-8753-e63d253be6f4.jpg?v=1789048040""]"
000135-0022-XL,4751043571902,https://cdn.shopify.com/s/files/1/0771/7188/4370/files/Untitleddesign-2026-09-10T164528.670_5e6dcb7f-eb30-4a6f-b4c4-d9a816baa6fc.jpg?v=1789048040,"[""https://cdn.shopify.com/s/files/1/0771/7188/4370/files/Untitleddesign-2026-09-10T164528.670_5e6dcb7f-eb30-4a6f-b4c4-d9a816baa6fc.jpg?v=1789048040"", ""https://cdn.shopify.com/s/files/1/0771/7188/4370/files/Untitleddesign-2026-09-10T164616.781_58fa32a6-190a-40d6-83c3-e49f725ef83f.jpg?v=1789048040"", ""https://cdn.shopify.com/s/files/1/0771/7188/4370/files/Untitleddesign-2026-09-10T164713.105_45324ba6-a320-4bcf-8753-e63d253be6f4.jpg?v=1789048040""]"
